Id,Netto,Qta,Dim,Lav,Date,Cap,TipoAttivita,idMatrice,idCat,TipoCalc
134,263.99,64.73,3.0,1,2022-04-21,10010,BAR,1,4,T04
135,0.0,0.0,0.0,0,2022-04-21,10010,BAR,1,5,T04
136,164.38,95.46,5.0,1,2022-04-22,10010,BAR,1,1,T04
137,425.58,82.11,5.0,1,2022-04-22,10010,BAR,1,2,T04
138,50.8,16.6,3.0,1,2022-04-22,10010,BAR,1,3,T04
139,432.21,64.14,5.0,1,2022-04-22,10010,BAR,1,4,T04
140,208.67,37.64,3.0,1,2022-04-22,10010,BAR,1,5,T04
141,403.35,161.31,5.0,1,2022-04-23,10010,BAR,1,1,T04
142,675.1,128.69,6.0,1,2022-04-23,10010,BAR,1,2,T04
143,137.87,38.47,3.0,1,2022-04-23,10010,BAR,1,3,T04
144,1467.23,224.45,8.0,1,2022-04-23,10010,BAR,1,4,T04
145,1176.08,166.35,5.0,1,2022-04-23,10010,BAR,1,5,T04
146,535.39,64.17,5.0,1,2022-05-06,10010,BAR,1,1,T04
147,323.84,47.84,5.0,1,2022-05-06,10010,BAR,1,2,T04
148,37.39,11.87,5.0,1,2022-05-06,10010,BAR,1,3,T04
149,497.78,143.32,7.0,1,2022-05-06,10010,BAR,1,4,T04
150,532.41,110.13,4.0,1,2022-05-06,10010,BAR,1,5,T04
151,231.38,119.68,5.0,1,2022-05-07,10010,BAR,1,1,T04
152,708.73,119.44,6.0,1,2022-05-07,10010,BAR,1,2,T04
153,281.79,50.76,6.0,1,2022-05-07,10010,BAR,1,3,T04
154,1852.59,409.51,9.0,1,2022-05-07,10010,BAR,1,4,T04
155,2360.95,423.86,6.0,1,2022-05-07,10010,BAR,1,5,T04
156,236.27,94.59,5.0,1,2022-05-08,10010,BAR,1,1,T04
157,527.73,131.89,5.0,1,2022-05-08,10010,BAR,1,2,T04
158,247.83,69.42,6.0,1,2022-05-08,10010,BAR,1,3,T04
159,1310.35,259.64,8.0,1,2022-05-08,10010,BAR,1,4,T04
160,124.62,25.54,5.0,1,2022-05-08,10010,BAR,1,5,T04
161,208.08,117.55,5.0,1,2022-05-09,10010,BAR,1,1,T04
162,472.38,90.72,5.0,1,2022-05-09,10010,BAR,1,2,T04
163,81.5,25.43,4.0,1,2022-05-09,10010,BAR,1,3,T04
164,273.25,51.67,4.0,1,2022-05-09,10010,BAR,1,4,T04
165,0.0,0.0,0.0,0,2022-05-09,10010,BAR,1,5,T04
166,240.97,94.9,5.0,1,2022-01-05,10010,BAR,1,1,T04
167,779.1,110.3,5.0,1,2022-01-05,10010,BAR,1,2,T04
168,85.82,36.47,5.0,1,2022-01-05,10010,BAR,1,3,T04
169,1103.73,207.2,6.0,1,2022-01-05,10010,BAR,1,4,T04
170,271.91,59.91,4.0,1,2022-01-05,10010,BAR,1,5,T04
171,143.04,94.01,4.0,1,2022-01-07,10010,BAR,1,1,T04
172,292.84,79.1,5.0,1,2022-01-07,10010,BAR,1,2,T04
173,69.3,28.67,4.0,1,2022-01-07,10010,BAR,1,3,T04
174,1079.05,162.81,6.0,1,2022-01-07,10010,BAR,1,4,T04
175,177.1,36.71,3.0,1,2022-01-07,10010,BAR,1,5,T04
