chart_date,country,release_cohort_month,chart_tracks,streams,average_rank,average_days_since_release
2026-07-02,IT,2012-10-01,1,53927,159.0,5014.0
2026-07-02,IT,2024-02-01,1,48992,196.0,881.0
2026-07-02,IT,2012-01-01,2,177147,74.5,5296.0
2026-07-02,IT,2023-06-01,2,100621,184.0,1122.5
2026-07-02,IT,1982-11-01,2,162588,68.5,15920.0
2026-07-02,IT,2020-06-01,2,111847,147.0,2208.5
2026-07-02,IT,2025-10-01,2,166329,79.5,254.5
2026-07-02,IT,2023-07-01,2,99663,189.0,1084.5
2026-07-02,IT,2025-02-01,2,193166,65.5,504.0
2026-07-02,IT,1998-01-01,2,117019,142.5,10409.0
2026-07-02,IT,2021-02-01,2,175396,83.5,1966.0
2026-07-02,IT,1995-01-01,2,133499,111.5,11505.0
2026-07-02,IT,2023-11-01,2,107910,159.0,958.0
2026-07-02,IT,2024-12-01,3,181077,138.66666666666666,567.0
2026-07-02,IT,2025-05-01,3,186752,119.33333333333333,416.6666666666667
2026-07-02,IT,2025-07-01,3,201804,102.33333333333333,349.0
2026-07-02,IT,2025-06-01,3,187878,122.66666666666667,386.6666666666667
2026-07-02,IT,2025-08-01,3,231207,93.66666666666667,314.0
2026-07-02,IT,2019-03-01,3,205287,99.66666666666667,2654.3333333333335
2026-07-02,IT,2025-03-01,4,357518,84.5,461.0
2026-07-02,IT,2024-11-01,4,280908,111.5,586.25
2026-07-02,IT,2024-10-01,4,277212,100.0,615.0
2026-07-02,IT,2025-01-01,5,468187,59.8,543.0
2026-07-02,IT,2025-04-01,6,486017,84.33333333333334,443.8333333333333
2026-07-02,IT,2024-06-01,7,427736,125.0,747.1428571428572
2026-07-02,IT,2026-03-01,8,799322,84.49999999999999,107.62500000000001
2026-07-02,IT,2025-09-01,8,507859,130.375,282.87499999999994
2026-07-02,IT,2026-02-01,14,1244225,90.2142857142857,129.85714285714283
2026-07-02,IT,2026-05-01,14,1747593,55.00000000000001,46.78571428571429
2026-07-02,IT,2026-04-01,15,1648303,59.6,79.6
2026-07-02,IT,2026-01-01,16,1576075,78.8125,164.37500000000003
2026-07-02,IT,2026-06-01,19,1753769,87.94736842105263,19.789473684210527
2026-06-26,IT,2022-09-01,1,75617,85.0,1379.0
2026-06-26,IT,1983-06-01,1,62596,135.0,15715.0
2026-06-26,IT,2017-05-01,1,89207,64.0,3339.0
2026-06-26,IT,2022-06-01,1,72589,99.0,1484.0
2026-06-26,IT,2013-01-01,1,106404,50.0,4924.0
2026-06-26,IT,2025-12-01,1,53849,186.0,204.0
2026-06-26,IT,2018-06-01,1,55668,172.0,2919.0
2026-06-26,IT,2011-12-01,1,65816,118.0,5303.0
2026-06-26,IT,2023-06-01,1,57365,157.0,1120.0
2026-06-26,IT,2022-07-01,1,56443,166.0,1451.0
2026-06-26,IT,2012-12-01,1,53092,192.0,4949.0
2026-06-26,IT,1993-01-01,1,75791,84.0,12229.0
2026-06-26,IT,2022-05-01,1,117012,39.0,1512.0
2026-06-26,IT,2024-09-01,1,75939,83.0,651.0
2026-06-26,IT,2018-10-01,1,74036,96.0,2810.0
2026-06-26,IT,2016-01-01,1,72739,98.0,3808.0
2026-06-26,IT,2012-10-01,1,59236,152.0,5008.0
2026-06-26,IT,2023-02-01,1,74060,95.0,1232.0
2026-06-26,IT,2014-08-01,1,61518,142.0,4343.0
2026-06-26,IT,2000-10-01,1,53968,184.0,9376.0
2026-06-26,IT,2020-10-01,1,52778,194.0,2065.0
2026-06-26,IT,2020-09-01,1,59901,149.0,2100.0
2026-06-26,IT,2025-11-01,1,125743,30.0,231.0
2026-06-26,IT,2025-02-01,1,153039,18.0,492.0
2026-06-26,IT,2016-04-01,1,62036,140.0,3717.0
2026-06-26,IT,2017-03-01,1,55245,173.0,3388.0
2026-06-26,IT,2017-11-01,1,64300,125.0,3136.0
2026-06-26,IT,2019-06-01,1,54134,180.0,2555.0
2026-06-26,IT,2013-06-01,1,56637,163.0,4770.0
2026-06-26,IT,2024-07-01,1,52733,195.0,707.0
2026-06-26,IT,2005-05-01,1,54683,177.0,7700.0
2026-06-26,IT,2018-11-01,1,56242,169.0,2765.0
2026-06-26,IT,2024-02-01,1,58293,153.0,875.0
2026-06-26,IT,2011-04-01,1,79121,78.0,5537.0
2026-06-26,IT,2016-10-01,1,56601,165.0,3535.0
2026-06-26,IT,2016-09-01,1,62031,141.0,3577.0
2026-06-26,IT,1982-11-01,2,191161,62.0,15914.0
2026-06-26,IT,2025-10-01,2,149165,91.0,248.5
2026-06-26,IT,2020-06-01,2,123925,139.0,2202.5
2026-06-26,IT,2012-01-01,2,210751,63.5,5290.0
2026-06-26,IT,2023-11-01,2,117214,153.0,952.0
2026-06-26,IT,1995-01-01,2,117822,155.0,11499.0
2026-06-26,IT,1998-01-01,2,123019,151.5,10403.0
2026-06-26,IT,2021-02-01,2,209813,99.5,1960.0
2026-06-26,IT,2018-01-01,2,114903,162.5,3080.0
2026-06-26,IT,2024-12-01,3,181515,154.66666666666666,560.0
2026-06-26,IT,2025-07-01,3,235576,83.33333333333333,343.0
2026-06-26,IT,2019-03-01,3,213259,101.0,2648.3333333333335
2026-06-26,IT,2024-11-01,3,246571,102.33333333333333,577.6666666666666
2026-06-26,IT,2025-03-01,3,349195,65.66666666666666,455.0
2026-06-26,IT,2025-08-01,3,257471,89.33333333333333,308.0
2026-06-26,IT,2025-05-01,4,230635,163.0,406.25
2026-06-26,IT,2025-06-01,4,247285,142.25,378.25
2026-06-26,IT,2024-10-01,4,294630,103.75,609.0
2026-06-26,IT,2025-01-01,6,578838,79.5,537.0
2026-06-26,IT,2024-06-01,6,372993,141.0,739.8333333333334
2026-06-26,IT,2025-09-01,8,534731,141.25,276.87500000000006
2026-06-26,IT,2025-04-01,8,660497,95.75,437.875
2026-06-26,IT,2026-03-01,8,943132,77.75,101.62500000000001
2026-06-26,IT,2026-02-01,13,1319880,80.84615384615384,124.07692307692307
2026-06-26,IT,2026-05-01,14,1871773,63.285714285714285,40.21428571428572
